id,State,adm1_code,Coal,Natural Gas,Petroleum,Nuclear Electric,Hydro Electric,Wind,Fuel Ethanol
1,Alabama,USA-3541,23.6,676.1,102.9,42,9.9,0,6.6
2,Alaska,USA-3563,1.3,336.8,43.2,0,1.6,0.2,0.7
3,Arizona,USA-3520,20,351.5,100.5,32.5,6.5,0.5,6.9
4,Arkansas,USA-3528,13,290.9,61.5,13.8,3.6,0,3.6
5,California,USA-3521,1.3,"2,298.90",651.1,18.5,13.8,12.2,37.3
6,Colorado,USA-3522,17.9,468.7,91.6,0,1.6,7.5,5.3
7,Connecticut,USA-3537,0.4,254.1,61.9,17.4,0.3,0,3.7
8,Delaware,USA-3555,0.3,102.7,19.9,0,0,0,1.2
9,District_of_Columbia,USA-3556,0,32.3,4,0,0,0,0.3
10,Florida,USA-3542,19.7,"1,334.30",319,28.1,0.2,0,19.2
11,Georgia,USA-3543,19.8,693.9,174.8,33.8,3,0,10.8
12,Hawaii,USA-3517,0.7,2.9,42.6,0,0.1,0.6,1.1
13,Idaho,USA-3518,0.2,104.7,33.3,0,8.8,2.3,1.8
14,Illinois,USA-3546,47.3,993.4,248.3,97.3,0.1,10.7,12.2
15,Indiana,USA-3547,45.2,718.6,149.4,0,0.4,4.5,7.2
16,Iowa,USA-3529,19.9,317.9,86.4,5.2,1,17.9,4.5
17,Kansas,USA-3530,16,251,65.7,8.6,0,11,2.9
18,Kentucky,USA-3548,35.4,268.6,114.8,0,3.4,0,5
19,Louisiana,USA-3535,11,"1,550.70",441.4,15.3,1,0,5.8
20,Maine,USA-3561,0.1,52.8,38.4,0,3.4,1.3,1.8
21,Maryland,USA-3557,6.7,215,95.3,14.6,1.6,0.4,6.9
22,Massachusetts,USA-3513,1.1,444.6,110.2,5,0.8,0.2,6.9
23,Michigan,USA-3562,31.9,844.3,169.2,29.3,1.5,4.8,10.5
24,Minnesota,USA-3514,15.4,431.3,112.6,12,0.8,9.8,7.6
25,Mississippi,USA-3544,4.9,518.5,82.5,11.7,0,0,4.2
26,Missouri,USA-3531,39.5,267.7,122.8,10.4,1.6,1,7.4
27,Montana,USA-3515,10.6,72.7,31.5,0,9.9,2,1.3
28,Nebraska,USA-3532,15.7,161.2,45.4,10.3,1.7,3.2,2
29,Nevada,USA-3523,1.8,300,43.5,0,2.3,0.3,2.8
30,New_Hampshire,USA-3538,0.4,68.7,30.5,9.5,1.3,0.4,1.7
31,New_Jersey,USA-3558,0.9,745.8,187.7,33.3,0,0,10.1
32,New_Mexico,USA-3524,12,250.5,45.9,0,0.1,2.1,2.4
33,New_York,USA-3559,1.8,"1,354.10",251,44.6,26,4,12.9
34,North_Carolina,USA-3549,16.4,498.6,159.1,42.1,4.7,0,9.9
35,North_Dakota,USA-3516,29.5,95.5,36.4,0,2.1,6.5,1.2
36,Ohio,USA-3550,35.2,968.6,218.8,17.4,0.5,1.2,11.4
37,Oklahoma,USA-3533,16.2,680.4,101.1,0,2.7,14,4.4
38,Oregon,USA-3525,1.5,236.3,63.7,0,31.3,6.6,3.8
39,Pennsylvania,USA-3560,39,"1,284.40",227.4,80.5,2.6,3.4,11.2
40,Rhode_Island,USA-3539,0,93.9,16.8,0,0,0,0.9
41,South_Carolina,USA-3545,9.7,274,100.8,53.2,2.6,0,6.1
42,South_Dakota,USA-3534,1.2,79,22.5,0,4.9,2.5,1.2
43,Tennessee,USA-3551,17.1,313.3,133.1,25,9.6,0,7.3
44,Texas,USA-3536,87.7,"4,127.10","1,335.40",39.4,1,44.8,31.4
45,Utah,USA-3526,15.2,230.8,52.9,0,0.8,0.6,2.6
46,Vermont,USA-3540,0,11.9,16.3,0,1.1,0.3,0.7
47,Virginia,USA-3552,9.7,499.3,152.6,28.1,1.2,0,9.4
48,Washington,USA-3519,3.5,308,141.5,8.2,73.4,7.1,6.9
49,West_Virginia,USA-3554,29.7,175.7,36.4,0,1.4,1.4,1.9
50,Wisconsin,USA-3553,22.8,457.8,105.8,10,2.3,1.6,6.4
51,Wyoming,USA-3527,27.8,138.7,29.4,0,0.9,3.8,0.9
